ID,x,tx,T,num
555,2,32.43,35.71,1
556,0,0,35.71,1
557,0,0,35.71,1
558,12,23.86,35.57,1
559,0,0,35.57,1
560,1,7.57,35.57,1
561,2,29,35.57,1
562,2,34.43,35.57,1
563,0,0,35.57,1
564,0,0,35.57,1
565,0,0,35.57,1
566,0,0,35.57,1
567,5,33.43,35.57,1
568,0,0,35.57,1
569,0,0,35.57,1
570,2,24.86,35.57,1
571,0,0,35.57,1
572,5,8.71,35.57,1
573,0,0,35.57,1
574,1,26.71,35.57,1
575,1,5.43,35.57,1
576,0,0,35.57,1
577,1,7.29,35.57,1
578,0,0,35.57,1
579,0,0,35.57,1
580,0,0,35.57,1
581,0,0,35.57,1
582,0,0,35.57,1
583,0,0,35.57,1
584,1,35.43,35.43,1
585,2,21.57,35.43,1
586,0,0,35.43,1
587,0,0,35.43,1
588,0,0,35.43,1
589,0,0,35.43,1
590,0,0,35.43,1
591,0,0,35.43,1
592,1,29,35.43,1
593,7,17.14,35.43,1
594,0,0,35.43,1
595,0,0,35.43,1
596,2,32.71,35.43,1
597,0,0,35.43,1
598,0,0,35.43,1
599,2,25.86,35.43,1
600,0,0,35.43,1
601,4,21.43,35.43,1
602,0,0,35.43,1
603,0,0,35.43,1
604,3,30,35.43,1
605,0,0,35.43,1
606,1,31.29,35.43,1
607,0,0,35.43,1
608,2,13.57,35.43,1
609,2,22,35.43,1
610,0,0,35.43,1
611,1,10.29,35.29,1
612,1,20.86,35.29,1
613,2,33.57,35.29,1
614,0,0,35.29,1
615,0,0,35.29,1
616,0,0,35.29,1
617,0,0,35.29,1
618,2,3.86,35.29,1
619,0,0,35.29,1
620,0,0,35.29,1
621,1,7.86,35.29,1
622,0,0,35.29,1
623,1,23.86,35.29,1
624,0,0,35.29,1
625,3,11.14,35.29,1
626,0,0,35.29,1
627,0,0,35.29,1
628,0,0,35.29,1
629,0,0,35.29,1
630,1,34.29,35.29,1
631,0,0,35.29,1
632,0,0,35.29,1
633,1,2.71,35.29,1
634,0,0,35.29,1
635,0,0,35.29,1
636,0,0,35.29,1
637,0,0,35.14,1
638,0,0,35.14,1
639,0,0,35.14,1
640,0,0,35.14,1
641,3,26.71,35.14,1
642,0,0,35.14,1
643,4,28.43,35.14,1
644,0,0,35.14,1
645,0,0,35.14,1
646,0,0,35.14,1
647,0,0,35.14,1
648,2,11.57,35.14,1
649,1,8.57,35.14,1
650,1,6.43,35.14,1
651,0,0,35.14,1
652,0,0,35.14,1
653,0,0,35.14,1
654,0,0,35.14,1
655,5,31.14,35.14,1
656,1,5.86,35.14,1
657,0,0,35.14,1
658,0,0,35.14,1
659,1,7.14,35.14,1
660,2,8.29,35.14,1
661,1,33.71,35.14,1
662,0,0,35.14,1
663,0,0,35.14,1
664,0,0,35.14,1
665,0,0,35.14,1
666,1,20.86,35,1
667,0,0,35,1
668,8,33.57,35,1
669,1,4.43,35,1
670,0,0,35,1
671,6,29.29,35,1
672,1,8.14,35,1
673,2,3.86,35,1
674,0,0,35,1
675,3,25.29,35,1
676,6,23,35,1
677,0,0,35,1
678,1,20.43,35,1
679,0,0,35,1
680,2,16.29,35,1
681,5,25.14,35,1
682,0,0,35,1
683,1,28,35,1
684,0,0,35,1
685,0,0,35,1
686,0,0,35,1
687,0,0,35,1
688,0,0,35,1
689,0,0,35,1
690,1,18.86,35,1
691,1,6,35,1
692,0,0,35,1
693,13,34.43,35,1
694,0,0,35,1
695,0,0,35,1
696,1,3.57,35,1
697,3,25.86,34.86,1
698,0,0,34.86,1
699,5,14.43,34.86,1
700,0,0,34.86,1
701,2,17.43,34.86,1
702,1,22.86,34.86,1
703,0,0,34.86,1
704,0,0,34.86,1
705,1,11.14,34.86,1
706,0,0,34.86,1
707,1,4,34.86,1
708,1,0.57,34.86,1
709,0,0,34.86,1
710,0,0,34.86,1
711,0,0,34.86,1
712,4,30.57,34.86,1
713,6,33.57,34.86,1
714,1,1.71,34.86,1
715,2,9.71,34.86,1
716,0,0,34.86,1
717,0,0,34.86,1
718,2,12,34.86,1
719,0,0,34.86,1
720,7,34.86,34.86,1
721,0,0,34.86,1
722,0,0,34.86,1
723,0,0,34.86,1
724,0,0,34.86,1
725,0,0,34.86,1
726,3,20.29,34.86,1
727,0,0,34.86,1
728,5,17,34.86,1
729,0,0,34.86,1
730,2,10.57,34.71,1
731,1,4.57,34.71,1
732,3,33.71,34.71,1
733,0,0,34.71,1
734,0,0,34.71,1
735,0,0,34.71,1
736,0,0,34.71,1
737,0,0,34.71,1
738,0,0,34.71,1
739,1,13.29,34.71,1
740,0,0,34.71,1
741,1,24.86,34.71,1
742,0,0,34.71,1
743,0,0,34.71,1
744,0,0,34.71,1
745,2,14.43,34.71,1
746,0,0,34.71,1
747,1,12.57,34.71,1
748,0,0,34.71,1
749,0,0,34.71,1
750,1,7.14,34.71,1
751,10,29.29,34.71,1
752,0,0,34.71,1
753,0,0,34.71,1
754,0,0,34.71,1
755,0,0,34.71,1
756,3,16.43,34.71,1
757,3,17.14,34.71,1
758,0,0,34.71,1
759,0,0,34.71,1
760,2,9.14,34.57,1
761,5,34.57,34.57,1
762,4,23.14,34.57,1
763,0,0,34.57,1
764,0,0,34.57,1
765,0,0,34.57,1
766,0,0,34.57,1
767,0,0,34.57,1
768,0,0,34.57,1
769,0,0,34.57,1
770,1,3.71,34.57,1
771,0,0,34.57,1
772,0,0,34.57,1
773,0,0,34.57,1
774,0,0,34.57,1
775,1,16,34.57,1
776,1,0.29,34.57,1
777,3,9.29,34.57,1
778,1,8.71,34.57,1
779,0,0,34.57,1
780,0,0,34.57,1
781,0,0,34.57,1
782,0,0,34.43,1
783,6,32.86,34.43,1
784,2,25.57,34.43,1
785,0,0,34.43,1
786,0,0,34.43,1
787,0,0,34.43,1
788,0,0,34.43,1
789,0,0,34.43,1
790,0,0,34.43,1
791,0,0,34.43,1
792,0,0,34.43,1
793,1,2.14,34.43,1
794,6,30.86,34.43,1
795,0,0,34.43,1
796,1,5.86,34.43,1
797,0,0,34.43,1
798,2,8.14,34.43,1
799,0,0,34.43,1
800,0,0,34.43,1
801,7,33.71,34.43,1
802,0,0,34.43,1
803,0,0,34.43,1
804,0,0,34.43,1
805,2,20.71,34.43,1
806,0,0,34.43,1
807,0,0,34.43,1
808,0,0,34.43,1
809,0,0,34.43,1
810,2,12.71,34.43,1
811,0,0,34.29,1
812,1,7.29,34.29,1
813,13,33.86,34.29,1
814,7,5.57,34.29,1
815,0,0,34.29,1
816,0,0,34.29,1
817,3,32,34.29,1
818,0,0,34.29,1
819,1,22.14,34.29,1
820,0,0,34.29,1
821,1,4.71,34.29,1
822,1,19.71,34.29,1
823,2,0.86,34.29,1
824,0,0,34.29,1
825,0,0,34.29,1
826,0,0,34.29,1
827,1,8.29,34.29,1
828,0,0,34.29,1
829,0,0,34.29,1
830,1,21.14,34.29,1
831,1,23.86,34.29,1
832,0,0,34.29,1
833,0,0,34.29,1
834,0,0,34.29,1
835,0,0,34.29,1
836,2,31,34.29,1
837,1,0.57,34.29,1
838,0,0,34.29,1
839,0,0,34.29,1
840,1,26.71,34.29,1
841,19,34,34.14,1
842,2,21,34.14,1
843,2,28,34.14,1
844,0,0,34.14,1
845,2,21,34.14,1
846,2,14,34.14,1
847,0,0,34.14,1
848,0,0,34.14,1
849,0,0,34.14,1
850,1,6.57,34.14,1
851,0,0,34.14,1
852,0,0,34.14,1
853,0,0,34.14,1
854,1,0.43,34.14,1
855,0,0,34.14,1
856,1,10.57,34.14,1
857,0,0,34.14,1
858,1,1.43,34.14,1
859,0,0,34.14,1
860,0,0,34.14,1
861,2,18.29,34.14,1
862,0,0,34.14,1
863,0,0,34.14,1
864,0,0,34.14,1
865,1,14.86,34.14,1
866,0,0,34.14,1
867,7,31.43,34.14,1
868,0,0,34.14,1
869,0,0,34.14,1
870,0,0,34.14,1
871,0,0,34.14,1
872,0,0,34.14,1
873,1,0.14,34.14,1
874,0,0,34.14,1
875,0,0,34.14,1
876,1,27.71,34.14,1
877,1,16.57,34,1
878,0,0,34,1
879,0,0,34,1
880,2,8.71,34,1
881,0,0,34,1
882,1,9.86,34,1
883,1,15.29,34,1
884,0,0,34,1
885,0,0,34,1
886,4,28.14,34,1
887,0,0,34,1
888,0,0,34,1
889,1,13.71,34,1
890,0,0,34,1
891,0,0,34,1
892,0,0,34,1
893,1,23.86,34,1
894,0,0,34,1
895,0,0,34,1
896,0,0,34,1
897,5,14.71,34,1
898,1,10.29,34,1
899,0,0,34,1
900,1,24.86,34,1
901,0,0,34,1
902,1,9.71,34,1
903,0,0,34,1
904,1,2.29,34,1
905,0,0,34,1
906,0,0,34,1
907,0,0,34,1
908,7,26,34,1
909,2,20.14,34,1
910,1,12.71,34,1
911,0,0,34,1
912,0,0,34,1
913,0,0,33.86,1
914,0,0,33.86,1
915,0,0,33.86,1
916,1,15.71,33.86,1
917,0,0,33.86,1
918,0,0,33.86,1
919,0,0,33.86,1
920,0,0,33.86,1
921,2,32.71,33.86,1
922,0,0,33.86,1
923,0,0,33.86,1
924,0,0,33.86,1
925,0,0,33.86,1
926,0,0,33.86,1
927,0,0,33.86,1
928,1,8.57,33.86,1
929,0,0,33.86,1
930,4,26.14,33.86,1
931,0,0,33.86,1
932,1,4.57,33.86,1
933,1,23,33.86,1
934,0,0,33.86,1
935,1,2.57,33.86,1
936,0,0,33.86,1
937,1,3.71,33.86,1
938,2,33,33.71,1
939,0,0,33.71,1
940,1,3,33.71,1
941,0,0,33.71,1
942,0,0,33.71,1
943,0,0,33.71,1
944,2,33.71,33.71,1
945,0,0,33.71,1
946,4,15.29,33.71,1
947,0,0,33.71,1
948,1,6.14,33.71,1
949,7,32.57,33.71,1
950,1,1.14,33.71,1
951,0,0,33.71,1
952,1,2.29,33.71,1
953,0,0,33.71,1
954,0,0,33.71,1
955,4,24,33.71,1
956,0,0,33.71,1
957,1,6.71,33.71,1
958,0,0,33.71,1
959,0,0,33.71,1
960,0,0,33.71,1
961,0,0,33.71,1
962,1,1,33.71,1
963,0,0,33.71,1
964,7,30.14,33.71,1
965,1,11,33.71,1
966,0,0,33.71,1
967,6,29.86,33.71,1
968,0,0,33.71,1
969,5,18.29,33.71,1
970,0,0,33.71,1
971,2,14.29,33.71,1
972,0,0,33.71,1
973,1,17.43,33.71,1
974,0,0,33.71,1
975,6,30.43,33.71,1
976,0,0,33.71,1
977,2,11.43,33.71,1
978,0,0,33.71,1
979,0,0,33.71,1
980,0,0,33.71,1
981,2,16,33.57,1
982,2,27.14,33.57,1
983,0,0,33.57,1
984,0,0,33.57,1
985,6,25,33.57,1
986,0,0,33.57,1
987,0,0,33.57,1
988,1,20,33.57,1
989,0,0,33.57,1
990,1,24.29,33.57,1
991,0,0,33.57,1
992,0,0,33.57,1
993,0,0,33.57,1
994,2,10.71,33.57,1
995,0,0,33.57,1
996,0,0,33.57,1
997,0,0,33.57,1
998,0,0,33.57,1
999,1,1.71,33.57,1
1000,4,24.43,33.57,1
1001,0,0,33.57,1
1002,0,0,33.57,1
1003,1,26.71,33.57,1
1004,0,0,33.57,1
1005,1,3.86,33.57,1
1006,0,0,33.57,1
1007,0,0,33.43,1
1008,1,1.43,33.43,1
1009,0,0,33.43,1
1010,5,21.14,33.43,1
1011,2,18.86,33.43,1
1012,0,0,33.43,1
1013,0,0,33.43,1
1014,0,0,33.43,1
1015,3,26,33.43,1
1016,0,0,33.43,1
1017,12,32.43,33.43,1
1018,1,9.14,33.43,1
1019,0,0,33.43,1
1020,0,0,33.43,1
1021,2,21.43,33.43,1
1022,0,0,33.43,1
1023,0,0,33.43,1
1024,0,0,33.43,1
1025,0,0,33.43,1
1026,0,0,33.43,1
1027,0,0,33.43,1
1028,0,0,33.43,1
1029,0,0,33.43,1
1030,0,0,33.43,1
1031,0,0,33.43,1
1032,0,0,33.43,1
1033,0,0,33.43,1
1034,0,0,33.43,1
1035,0,0,33.43,1
1036,0,0,33.43,1
1037,4,14.29,33.43,1
1038,1,23.14,33.29,1
1039,1,8.71,33.29,1
1040,0,0,33.29,1
1041,0,0,33.29,1
1042,3,18,33.29,1
1043,0,0,33.29,1
1044,1,33.29,33.29,1
1045,0,0,33.29,1
1046,1,0.57,33.29,1
1047,0,0,33.29,1
1048,0,0,33.29,1
1049,0,0,33.29,1
1050,0,0,33.29,1
1051,4,25,33.29,1
1052,0,0,33.29,1
1053,0,0,33.29,1
1054,2,19.14,33.29,1
1055,0,0,33.29,1
1056,5,32.29,33.29,1
1057,0,0,33.29,1
1058,3,24.57,33.29,1
1059,1,0.14,33.29,1
1060,0,0,33.29,1
1061,0,0,33.29,1
1062,3,13.14,33.29,1
1063,0,0,33.29,1
1064,0,0,33.29,1
1065,0,0,33.29,1
1066,0,0,33.29,1
1067,0,0,33.14,1
1068,0,0,33.14,1
1069,0,0,33.14,1
1070,0,0,33.14,1
1071,2,4,33.14,1
1072,0,0,33.14,1
1073,0,0,33.14,1
1074,0,0,33.14,1
1075,2,4.86,33.14,1
1076,3,19.29,33.14,1
1077,0,0,33.14,1
1078,0,0,33.14,1
1079,0,0,33.14,1
1080,0,0,33.14,1
1081,11,32,33.14,1
1082,0,0,33.14,1
1083,0,0,33.14,1
1084,2,2.29,33.14,1
1085,0,0,33.14,1
1086,1,19,33.14,1
1087,0,0,33.14,1
1088,7,28.71,33.14,1
1089,0,0,33.14,1
1090,0,0,33.14,1
1091,1,19,33.14,1
1092,0,0,33.14,1
1093,3,12,33.14,1
1094,0,0,33.14,1
1095,2,28,33.14,1
1096,0,0,33.14,1
1097,1,2,33.14,1
1098,0,0,33.14,1
1099,4,25,33.14,1
1100,2,15.29,33,1
1101,2,6,33,1
1102,1,18.29,33,1
1103,0,0,33,1
1104,0,0,33,1
1105,0,0,33,1
1106,0,0,33,1
1107,0,0,33,1
1108,1,8.57,33,1
1109,3,30.29,33,1
1110,0,0,33,1
1111,0,0,33,1
1112,1,18.43,33,1
1113,1,0.86,33,1
1114,6,18.43,33,1
1115,0,0,33,1
1116,0,0,33,1
1117,4,29,33,1
1118,0,0,33,1
1119,0,0,33,1
1120,1,1.29,33,1
